Branch_nr;Generation;Parent_branch_nr;Child_branch_nr;Pos_x,Pos_y,Pos_z
1;1;0;4,5;-27.9687,94.9149,-139.235
1;1;0;4,5;-27.9719,94.9153,-139.23
1;1;0;4,5;-28.2505,94.9158,-138.813
1;1;0;4,5;-28.5354,94.9182,-138.388
1;1;0;4,5;-28.8308,94.9221,-137.948
1;1;0;4,5;-29.1138,94.9264,-137.528
1;1;0;4,5;-29.4085,94.9314,-137.091
1;1;0;4,5;-29.7061,94.9378,-136.65
1;1;0;4,5;-29.9992,94.9437,-136.217
1;1;0;4,5;-30.2807,94.951,-135.802
1;1;0;4,5;-30.5789,94.9586,-135.363
1;1;0;4,5;-30.8936,94.9666,-134.901
1;1;0;4,5;-31.1866,94.9756,-134.47
1;1;0;4,5;-31.4921,94.9854,-134.022
1;1;0;4,5;-31.8099,94.9959,-133.557
1;1;0;4,5;-32.0981,95.0054,-133.136
1;1;0;4,5;-32.3951,95.0162,-132.702
1;1;0;4,5;-32.7011,95.0282,-132.256
1;1;0;4,5;-33.0159,95.0405,-131.797
1;1;0;4,5;-33.3394,95.054,-131.327
1;1;0;4,5;-33.6235,95.0661,-130.914
1;1;0;4,5;-33.9137,95.0792,-130.493
1;1;0;4,5;-34.21,95.0931,-130.063
1;1;0;4,5;-34.5125,95.1068,-129.626
1;1;0;4,5;-34.8206,95.1225,-129.18
1;1;0;4,5;-35.1347,95.1379,-128.727
1;1;0;4,5;-35.4544,95.1552,-128.265
1;1;0;4,5;-35.78,95.1724,-127.797
1;1;0;4,5;-36.1111,95.1903,-127.32
1;1;0;4,5;-36.4474,95.2101,-126.837
1;1;0;4,5;-36.7895,95.2297,-126.346
1;1;0;4,5;-37.0784,95.2469,-125.932
1;1;0;4,5;-37.3711,95.2647,-125.514
1;1;0;4,5;-37.6671,95.284,-125.09
1;1;0;4,5;-37.9668,95.3028,-124.662
1;1;0;4,5;-38.2699,95.3231,-124.23
1;1;0;4,5;-38.5767,95.343,-123.793
1;1;0;4,5;-38.8867,95.3644,-123.352
1;1;0;4,5;-39.1999,95.3863,-122.907
1;1;0;4,5;-39.5164,95.4097,-122.457
1;1;0;4,5;-39.8362,95.4326,-122.004
1;1;0;4,5;-40.1592,95.4569,-121.546
1;1;0;4,5;-40.4853,95.4818,-121.085
1;1;0;4,5;-40.8145,95.5071,-120.62
1;1;0;4,5;-41.1465,95.5339,-120.152
1;1;0;4,5;-41.4816,95.5611,-119.68
1;1;0;4,5;-41.8197,95.5889,-119.204
1;1;0;4,5;-42.1608,95.6171,-118.725
1;1;0;4,5;-42.5045,95.6467,-118.243
1;1;0;4,5;-42.851,95.6767,-117.757
1;1;0;4,5;-43.2002,95.7082,-117.269
1;1;0;4,5;-43.5521,95.7401,-116.777
1;1;0;4,5;-43.9064,95.7734,-116.282
1;1;0;4,5;-44.2635,95.8072,-115.785
1;1;0;4,5;-44.6231,95.8414,-115.285
1;1;0;4,5;-44.9851,95.8769,-114.782
1;1;0;4,5;-45.3496,95.9129,-114.276
1;1;0;4,5;-45.6428,95.9428,-113.87
1;1;0;4,5;-45.9376,95.9729,-113.462
1;1;0;4,5;-46.2336,96.0042,-113.053
1;1;0;4,5;-46.5313,96.0358,-112.642
1;1;0;4,5;-46.8303,96.0677,-112.23
1;1;0;4,5;-47.1306,96.1007,-111.817
1;1;0;4,5;-47.4325,96.133,-111.402
1;1;0;4,5;-47.7355,96.1676,-110.986
1;1;0;4,5;-48.0398,96.2023,-110.568
1;1;0;4,5;-48.3455,96.2373,-110.15
1;1;0;4,5;-48.6525,96.2725,-109.73
1;1;0;4,5;-48.9606,96.309,-109.309
1;1;0;4,5;-49.2698,96.3466,-108.887
1;1;0;4,5;-49.5803,96.3845,-108.465
1;1;0;4,5;-49.892,96.4225,-108.041
1;1;0;4,5;-50.2047,96.4618,-107.616
1;1;0;4,5;-50.5186,96.5013,-107.191
1;1;0;4,5;-50.8335,96.5419,-106.764
1;1;0;4,5;-51.1494,96.5828,-106.337
1;1;0;4,5;-51.4663,96.6249,-105.909
1;1;0;4,5;-51.7843,96.6671,-105.481
1;1;0;4,5;-52.1032,96.7106,-105.051
1;1;0;4,5;-52.423,96.7542,-104.622
1;1;0;4,5;-52.7438,96.799,-104.191
